"","entrezId","geneSymbol","chromosome"
"55",100033454,"SNORD115-16","chr15"
"56",100033455,"SNORD115-17","chr15"
"57",100033456,"SNORD115-18","chr15"
"58",100033458,"SNORD115-19","chr15"
"59",100033460,"SNORD115-20","chr15"
"60",100033603,"SNORD115-21","chr15"
"61",100033799,"SNORD115-22","chr15"
"62",100033800,"SNORD115-23","chr15"
"63",100033801,"SNORD115-25","chr15"
"64",100033802,"SNORD115-26","chr15"
"65",100033803,"SNORD115-29","chr15"
"66",100033804,"SNORD115-30","chr15"
"67",100033805,"SNORD115-31","chr15"
"68",100033806,"SNORD115-32","chr15"
"69",100033807,"SNORD115-33","chr15"
"70",100033808,"SNORD115-34","chr15"
"71",100033809,"SNORD115-35","chr15"
"72",100033810,"SNORD115-36","chr15"
"73",100033811,"SNORD115-37","chr15"
"74",100033812,"SNORD115-38","chr15"
"75",100033813,"SNORD115-39","chr15"
"76",100033814,"SNORD115-40","chr15"
"77",100033815,"SNORD115-41","chr15"
"78",100033816,"SNORD115-42","chr15"
"79",100033817,"SNORD115-43","chr15"
"80",100033818,"SNORD115-44","chr15"
"81",100033819,"MIR675","chr11"
"82",100033820,"SNORD116-28","chr15"
"83",100033821,"SNORD116-29","chr15"
"84",100033822,"SNORD115-48","chr15"
"85",100036519,"FOXD4L2","chr9"
"86",100036563,"SNORD115-24","chr15"
"87",100036564,"SNORD115-27","chr15"
"88",100036565,"SNORD115-28","chr15"
"89",100036566,"SNORD115-45","chr15"
"90",100036567,"SNORD115-47","chr15"
"91",100037417,"DDTL","chr22"
"92",100038246,"TLX1NB","chr10"
"93",10004,"NAALADL1","chr11"
"94",100048912,"CDKN2B-AS1","chr9"
"95",100049076,"GUSBP9","chr5"
"96",100049587,"SIGLEC14","chr19"
"97",100049615,"SKCG-1","chr11"
"98",100049716,"LOC100049716","chr12"
"99",10005,"ACOT8","chr20"
"100",10006,"ABI1","chr10"
"101",10007,"GNPDA1","chr5"
"102",100073347,"MIMT1","chr19"
"103",10008,"KCNE3","chr11"
"104",10009,"ZBTB33","chrX"
"105",100093630,"SNHG8","chr4"
"106",100093631,"LOC100093631","chr7"
"107",100093698,"LOC100093698","chrX"
"108",1001,"CDH3","chr16"
"109",10010,"TANK","chr2"
"110",100101115,"TTTY21B","chrY"
"111",100101116,"TTTY1B","chrY"
"112",100101117,"TTTY2B","chrY"
"113",100101118,"TTTY8B","chrY"
"114",100101120,"TTTY7B","chrY"
"115",100101121,"TTTY23B","chrY"
"116",100101266,"LOC100101266","chr19"
"117",100101267,"POM121C","chr7"
"118",100101467,"ZSCAN30","chr18"
"119",100101490,"PSIMCT-1","chr20"
"120",100101629,"GAGE8","chrX"
"121",100101938,"ANKRD26P3","chr13"
"122",10011,"SRA1","chr5"
"123",100113378,"SNORD119","chr20"
"124",100113379,"SNORD121A","chr9"
"125",100113380,"SNORD125","chr22"
"126",100113381,"SNORD19B","chr3"
"127",100113382,"SNORD105B","chr19"
"128",100113384,"SNORD123","chr5"
"129",100113385,"SNORD121B","chr9"
"130",100113386,"UCKL1-AS1","chr20"
"131",100113389,"SNORD127","chr14"
"132",100113390,"SNORD124","chr17"
"133",100113391,"SNORD126","chr14"
"134",100113392,"SNORD11B","chr2"
"135",100113393,"SNORD12B","chr20"
"136",100113402,"SNORD111B","chr16"
"137",100113403,"LINC00577","chr6"
"138",100113404,"C9orf146","chr9"
"139",100113407,"TMEM170B","chr6"
"140",100124412,"FAM138E","chr15"
"141",100124516,"SNORD58C","chr18"
"142",100124533,"SCARNA27","chr6"
"143",100124534,"SNORA84","chr9"
"144",100124535,"SNORA36C","chr2"
"145",100124536,"SNORA38B","chr17"
"146",100124537,"SNORA70B","chr2"
"147",100124538,"SNORA70C","chr9"
"148",100124539,"SNORA11B","chr14"
"149",100124540,"SNORA11C","chrX"
"150",100124541,"SNORA11D","chrX"
"151",100124542,"SNORA11E","chrX"
"152",100124692,"LOC100124692","chr7"
"153",100124700,"HOTAIR","chr12"
"154",100125288,"ZGLP1","chr19"
"155",100125556,"LOC100125556","chr3"
"156",100126270,"FMR1-AS1","chrX"
"157",100126296,"MIR298","chr20"
"158",100126297,"MIR300","chr14"
"159",100126299,"VTRNA2-1","chr5"
"160",100126301,"MIR509-2","chrX"
"161",100126302,"MIR450B","chrX"
"162",100126303,"MIR890","chrX"
"163",100126304,"MIR891B","chrX"
"164",100126306,"MIR888","chrX"
"165",100126307,"MIR892B","chrX"
"166",100126308,"MIR541","chr14"
"167",100126309,"MIR875","chr8"
"168",100126310,"MIR876","chr9"
"169",100126311,"MIR147B","chr15"
"170",100126313,"MIR744","chr17"
"171",100126314,"MIR877","chr6"
"172",100126315,"MIR665","chr14"
"173",100126316,"MIR873","chr9"
"174",100126317,"MIR374B","chrX"
"175",100126318,"MIR301B","chr22"
"176",100126319,"MIR216B","chr2"
"177",100126320,"MIR920","chr12"
"178",100126321,"MIR922","chr3"
"179",100126323,"MIR924","chr18"
"180",100126324,"MIR934","chrX"
"181",100126325,"MIR935","chr19"
"182",100126326,"MIR936","chr10"
"183",100126327,"MIR938","chr10"
"184",100126328,"MIR940","chr16"
"185",100126329,"MIR941-1","chr20"
"186",100126330,"MIR941-4","chr20"
"187",100126331,"MIR942","chr1"
"188",100126332,"MIR943","chr4"
"189",100126333,"MIR708","chr11"
"190",100126334,"MIR885","chr3"
"191",100126335,"MIR543","chr14"
"192",100126336,"MIR208B","chr14"
"193",100126337,"MIR509-3","chrX"
"194",100126338,"MIR937","chr8"
"195",100126339,"MIR941-2","chr20"
"196",100126340,"MIR944","chr3"
"197",100126341,"MIR891A","chrX"
"198",100126342,"MIR892A","chrX"
"199",100126343,"MIR874","chr5"
"200",100126345,"MIR889","chr14"
"201",100126346,"MIR190B","chr1"
"202",100126347,"MIR887","chr5"
"203",100126348,"MIR760","chr1"
"204",100126349,"MIR921","chr1"
"205",100126350,"MIR933","chr2"
"206",100126351,"MIR939","chr8"
"207",100126352,"MIR941-3","chr20"
"208",100126354,"MIR297","chr4"
"209",100126355,"MIR365A","chr16"
"210",100126356,"MIR365B","chr17"
"211",100126447,"LOC100126447","chrX"
"212",100126582,"LOC100126582","chr9"
"213",100126693,"LINC00322","chr21"
"214",100126780,"SNAR-G1","chr19"
"215",100126781,"SNAR-F","chr19"
"216",100126784,"LOC100126784","chr11"
"217",100126791,"EGOT","chr3"
"218",100126793,"GHRLOS","chr3"
"219",100126798,"SNAR-A1","chr19"
"220",100126799,"SNAR-A2","chr19"
"221",100126800,"SNAR-A12","chr19"
"222",100127206,"KIAA1024L","chr5"
"223",100127885,"LOC100127885","chr8"
"224",100127888,"LOC100127888","chr20"
"225",100127889,"C10orf131","chr10"
"226",100127891,"LOC100127891","chr7"
"227",100127909,"LOC100127909","chr18"
"228",100127910,"LOC100127910","chr1"
"229",100127946,"LOC100127946","chr11"
"230",100127950,"HECW1-IT1","chr7"
"231",100127961,"LOC100127961","chr6"
"232",100127974,"LOC100127974","chr12"
"233",100127983,"LOC100127983","chr8"
"234",100128002,"LOC100128002","chr12"
"235",100128023,"LOC100128023","chr3"
"236",100128025,"WWTR1-AS1","chr3"
"237",100128028,"LOC100128028","chr20"
"238",100128054,"LOC100128054","chr10"
"239",100128055,"SMARCA5-AS1","chr4"
"240",100128059,"LOC100128059","chr5"
"241",100128064,"","chr9"
"242",100128071,"LOC100128071","chr1"
"243",100128075,"LOC100128075","chr14"
"244",100128076,"LOC100128076","chr9"
"245",100128077,"LOC100128077","chr9"
"246",100128081,"JAZF1-AS1","chr7"
"247",100128098,"LOC100128098","chr10"
"248",100128105,"LOC100128105","chr17"
"249",100128108,"LOC100128108","chr15"
"250",100128124,"HGC6.3","chr6"
"251",100128126,"LOC100128126","chr8"
"252",100128130,"LOC100128130","chr2"
"253",100128131,"LOC100128131","chr2"
"254",100128139,"LOC100128139","chr19"
"255",100128155,"","chr9"
"256",100128164,"LOC100128164","chr3"
"257",100128176,"LOC100128176","chr6"
"258",100128191,"LOC100128191","chr12"
"259",100128239,"LOC100128239","chr11"
"260",100128242,"LOC100128242","chr11"
"261",100128252,"LOC100128252","chr19"
"262",100128253,"LOC100128253","chr12"
"263",100128262,"LOC100128262","chr3"
"264",100128264,"LOC100128264","chr7"
"265",100128276,"LOC100128276","chr12"
"266",100128278,"","chr13"
"267",100128285,"DNM1P35","chr15"
"268",100128288,"LOC100128288","chr17"
"269",100128292,"LOC100128292","chr10"
"270",100128300,"","chr10"
"271",100128304,"LOC100128304","chr10"
"272",100128310,"LOC100128310","chr20"
"273",100128326,"LOC100128326","chr7"
"274",100128327,"BET3L","chr6"
"275",100128338,"LOC100128338","chr8"
"276",100128340,"LOC100128340","chr5"
"277",100128342,"","chr3"
"278",100128343,"LOC100128343","chr14"
"279",100128356,"LOC100128356","chr10"
"280",100128361,"LOC100128361","chr9"
"281",100128364,"LOC100128364","chr7"
"282",100128366,"LOC100128366","chr14"
"283",100128371,"LOC100128371","chr16"
"284",100128374,"LOC100128374","chr7"
"285",100128378,"C3orf74","chr3"
"286",100128385,"LINC00256B","chr9"
"287",100128398,"LOC100128398","chr19"
"288",100128406,"AZFP","chr2"
"289",100128416,"LOC100128416","chrX"
"290",100128420,"LOC100128420","chrX"
"291",100128482,"LOC100128482","chr5"
"292",100128496,"C20orf78","chr20"
"293",100128505,"LOC100128505","chr9"
"294",100128508,"LOC100128508","chr5"
"295",100128511,"LOC100128511","chr10"
"296",100128531,"LOC100128531","chr22"
"297",100128542,"LOC100128542","chr7"
"298",100128553,"CTAGE4","chr7"
"299",100128554,"LOC100128554","chr12"
"300",100128563,"LOC100128563","chr2"
"301",100128568,"LOC100128568","chr19"
"302",100128569,"C19orf71","chr19"
"303",100128573,"LOC100128573","chr19"
"304",100128574,"ARMCX3-AS1","chrX"
"305",100128590,"LOC100128590","chr2"
"306",100128593,"LOC100128593","chr9"
"307",100128640,"LOC100128640","chr3"
"308",100128644,"LOC100128644","chr3"
"309",100128653,"LOC100128653","chr7"
"310",100128657,"LOC100128657","chr9"
"311",100128675,"LOC100128675","chr19"
"312",100128682,"LOC100128682","chr19"
"313",100128714,"LOC100128714","chr15"
"314",100128726,"","chr1"
"315",100128731,"OST4","chr2"
"316",100128737,"LOC100128737","chr7"
"317",100128750,"LOC100128750","chr8"
"318",100128751,"LOC100128751","chr1"
"319",100128770,"LOC100128770","chr16"
"320",100128782,"LINC00476","chr9"
"321",100128787,"LOC100128787","chr1"
"322",100128788,"LOC100128788","chr16"
"323",100128811,"LOC100128811","chr10"
"324",100128816,"LOC100128816","chr12"
"325",100128818,"LOC100128818","chr22"
"326",100128822,"LOC100128822","chr7"
"327",100128840,"LOC100128840","chr12"
"328",100128857,"LOC100128857","chr2"
"329",100128881,"LOC100128881","chr16"
"330",100128890,"FAM66B","chr8"
"331",100128893,"LOC100128893","chr18"
"332",100128905,"LOC100128905","chr2"
"333",100128908,"LOC100128908","chr14"
"334",100128909,"LOC100128909","chr9"
"335",100128927,"ZBTB42","chr14"
"336",100128946,"LOC100128946","chr22"
"337",100128977,"MAPT-AS1","chr17"
"338",100128979,"LOC100128979","chr15"
"339",100128988,"LOC100128988","chr20"
"340",100128993,"LOC100128993","chr8"
"341",100128997,"LOC100128997","chr20"
"342",100128998,"C20orf181","chr20"
"343",100129027,"LOC100129027","chr21"
"344",100129033,"LOC100129033","chr6"
"345",100129034,"LOC100129034","chr9"
"346",100129046,"LOC100129046","chr1"
"347",100129055,"LOC100129055","chr10"
"348",100129060,"LOC100129060","chr3"
"349",100129066,"UNQ6494","chr9"
"350",100129075,"KTN1-AS1","chr14"
"351",100129083,"LOC100129083","chr19"
"352",100129094,"BUTR1","chr1"
"353",100129098,"LOC100129098","chr8"
"354",100129104,"LOC100129104","chr8"
"355",100129119,"LOC100129119","chr15"
"356",100129128,"KHDC1L","chr6"
"357",100129129,"LOC100129129","chr8"
"358",100129138,"LOC100129138","chr1"
"359",100129148,"LOC100129148","chr7"
"360",100129175,"LOC100129175","chr2"
"361",100129195,"LOC100129195","chr6"
"362",100129196,"LOC100129196","chr1"
"363",100129203,"LOC100129203","chr11"
"364",100129213,"LOC100129213","chr10"
"365",100129215,"LOC100129215","chr16"
"366",100129216,"LOC100129216","chr11"
"367",100129223,"LOC100129223","chr12"
"368",100129233,"LOC100129233","chr5"
"369",100129239,"CXorf51A","chrX"
"370",100129250,"LOC100129250","chr9"
"371",100129268,"LOC100129268","chr1"
"372",100129269,"LOC100129269","chr1"
"373",100129271,"C1orf68","chr1"
"374",100129291,"LOC100129291","chrX"
"375",100129297,"LOC100129297","chr3"
"376",100129307,"LOC100129307","chr13"
"377",100129316,"LOC100129316","chr9"
"378",100129345,"LOC100129345","chr14"
"379",100129354,"NRADDP","chr3"
"380",100129361,"LOC100129361","chr12"
"381",100129387,"LOC100129387","chr15"
"382",100129396,"FAM106CP","chr17"
"383",100129405,"MSTO2P","chr1"
"384",100129407,"LOC100129407","chrX"
"385",100129413,"LOC100129413","chr10"
"386",100129424,"RPL19P12","chr7"
"387",100129427,"LOC100129427","chr7"
"388",100129434,"LOC100129434","chr2"
"389",100129460,"DPY19L1P1","chr7"
"390",100129461,"LOC100129461","chr6"
"391",100129463,"LOC100129463","chr7"
"392",100129464,"CXorf28","chrX"
"393",100129473,"LOC100129473","chr11"
"394",100129476,"LOC100129476","chr1"
"395",100129480,"LOC100129480","chr3"
"396",100129482,"ZNF37BP","chr10"
"397",100129484,"LOC100129484","chr7"
"398",100129502,"LOC100129502","chr15"
"399",100129503,"PP13","chr17"
"400",100129515,"LOC100129515","chrX"
"401",100129516,"LOC100129516","chr3"
"402",100129518,"LOC100129518","chr6"
"403",100129520,"LOC100129520","chrX"
"404",100129534,"LOC100129534","chr1"
"405",100129543,"ZNF730","chr19"
"406",100129550,"LOC100129550","chr3"
"407",100129583,"FAM47E","chr4"
"408",100129596,"LOC100129596","chr8"
"409",100129597,"LOC100129597","chr13"
"410",100129617,"LOC100129617","chr16"
"411",100129620,"LOC100129620","chr1"
"412",100129636,"LOC100129636","chr6"
"413",100129654,"TCF24","chr8"
"414",100129662,"LOC100129662","chrX"
"415",100129697,"LOC100129697","chr16"
"416",100129703,"NAG20","chr7"
"417",100129716,"LOC100129716","chr5"
"418",100129722,"LOC100129722","chr9"
"419",100129726,"LOC100129726","chr2"
"420",100129744,"LOC100129744","chr13"
"421",100129781,"LOC100129781","chr16"
"422",100129792,"CCDC152","chr5"
"423",100129794,"LOC100129794","chr14"
"424",100129827,"MRVI1-AS1","chr11"
"425",100129831,"LOC100129831","chr19"
"426",100129842,"ZNF737","chr19"
"427",100129845,"LOC100129845","chr7"
"428",100129858,"LOC100129858","chr4"
"429",100129860,"LOC100129860","chrX"
"430",100129885,"SCXA","chr8"
"431",100129917,"LOC100129917","chr4"
"432",100129924,"LOC100129924","chr1"
"433",100129931,"LOC100129931","chr4"
"434",100129935,"LOC100129935","chr19"
"435",100129940,"LOC100129940","chr12"
"436",100129960,"LOC100129960","chr8"
"437",100129961,"LOC100129961","chr2"
"438",100129999,"LOC100129999","chr9"
"439",10013,"HDAC6","chrX"
"440",100130000,"LOC100130000","chr1"
"441",100130009,"LOC100130009","chr2"
"442",100130015,"LOC100130015","chr16"
"443",100130017,"FTLP10","chr4"
"444",100130027,"LOC100130027","chr8"
"445",100130071,"LOC100130071","chr1"
"446",100130083,"HBCBP","chr12"
"447",100130086,"HSFX2","chrX"
"448",100130093,"LOC100130093","chr1"
"449",100130097,"LOC100130097","chr1"
"450",100130100,"LOC100130100","chr2"
"451",100130111,"LOC100130111","chr15"
"452",100130148,"MAPT-IT1","chr17"
"453",100130155,"LOC100130155","chr8"
"454",100130156,"LOC100130156","chr20"
"455",100130157,"LOC100130157","chr20"
"456",100130169,"LOC100130169","chr7"
"457",100130171,"LOC100130171","chr2"
"458",100130172,"LOC100130172","chr5"
"459",100130197,"LOC100130197","chr1"
"460",100130219,"LOC100130219","chr12"
"461",100130231,"LOC100130231","chr8"
"462",100130238,"LOC100130238","chr12"
"463",100130249,"PP2672","chr1"
"464",100130255,"","chr10"
"465",100130264,"LOC100130264","chr20"
"466",100130274,"CCDC166","chr8"
"467",100130275,"LOC100130275","chr6"
"468",100130285,"LOC100130285","chr16"
"469",100130298,"LOC100130298","chr8"
"470",100130301,"LOC100130301","chr8"
"471",100130302,"FAM48B1","chrX"
"472",100130311,"C17orf107","chr17"
"473",100130331,"LOC100130331","chr1"
"474",100130342,"SCGB2B3P","chr19"
"475",100130348,"LOC100130348","chr11"
"476",100130357,"LOC100130357","chr6"
"477",100130361,"CXorf49","chrX"
"478",100130370,"LOC100130370","chr17"
"479",100130386,"LINC00552","chr13"
"480",100130417,"LOC100130417","chr1"
"481",100130418,"CECR7","chr22"
"482",100130428,"LOC100130428","chr11"
"483",100130445,"LOC100130445","chr2"
"484",100130449,"PP14571","chr2"
"485",100130451,"LOC100130451","chr2"
"486",100130452,"LOC100130452","chr2"
"487",100130458,"LOC100130458","chr9"
"488",100130476,"LOC100130476","chr6"
"489",100130480,"LOC100130480","chr18"
"490",100130502,"LOC100130502","chr2"
"491",100130503,"LOC100130503","chr3"
"492",100130507,"LOC100130507","chr11"
"493",100130519,"TMEM221","chr19"
"494",100130522,"LOC100130522","chr18"
"495",100130539,"LOC100130539","chr10"
"496",100130547,"LOC100130547","chr9"
"497",100130548,"LOC100130548","chr9"
"498",100130557,"LOC100130557","chr1"
"499",100130579,"LOC100130579","chr15"
"500",100130581,"LOC100130581","chr17"
"501",100130589,"LOC100130589","chr20"
"502",100130613,"CXorf64","chrX"
"503",100130673,"LOC100130673","chr7"
"504",100130691,"LOC100130691","chr2"
"505",100130698,"LOC100130698","chr10"
"506",100130700,"LOC100130700","chr16"
"507",100130705,"LOC100130705","chr7"
"508",100130717,"CECR5-AS1","chr22"
"509",100130733,"LRRC70","chr5"
"510",100130742,"LRRC69","chr8"
"511",100130744,"LOC100130744","chr5"
"512",100130746,"LOC100130746","chr5"
"513",100130771,"EFCAB10","chr7"
"514",100130776,"LOC100130776","chr12"
"515",100130800,"LOC100130800","chr1"
"516",100130811,"LOC100130811","chr14"
"517",100130815,"LOC100130815","chr14"
"518",100130827,"SGK110","chr19"
"519",100130830,"LOC100130830","chr12"
"520",100130849,"LOC100130849","chr7"
"521",100130855,"LOC100130855","chr15"
"522",100130856,"LOC100130856","chr19"
"523",100130872,"LOC100130872","chr4"
"524",100130876,"LOC100130876","chr17"
"525",100130880,"LOC100130880","chr7"
"526",100130887,"LOC100130887","chr10"
"527",100130889,"PSORS1C3","chr6"
"528",100130890,"LOC100130890","chr6"
"529",100130894,"LOC100130894","chr16"
"530",100130899,"LOC100130899","chr22"
"531",100130921,"LOC100130921","chr2"
"532",100130932,"LOC100130932","chr19"
"533",100130933,"C17orf110","chr17"
"534",100130934,"ZNF663","chr20"
"535",100130938,"LOC100130938","chr18"
"536",100130950,"LOC100130950","chr17"
"537",100130954,"LOC100130954","chr9"
"538",100130958,"SYCE1L","chr16"
"539",100130964,"LOC100130964","chr8"
"540",100130967,"C6orf99","chr6"
"541",100130987,"LOC100130987","chr11"
"542",100130988,"C7orf72","chr7"
"543",100130992,"LOC100130992","chr10"
"544",100131035,"LOC100131035","chr3"
"545",100131047,"LOC100131047","chr6"
"546",100131060,"LOC100131060","chr1"
"547",100131067,"LOC100131067","chr5"
"548",100131089,"LOC100131089","chr15"
"549",100131091,"","chr17"
"550",100131094,"LOC100131094","chr19"
"551",100131096,"LOC100131096","chr17"
"552",100131107,"LOC100131107","chr1"
"553",100131117,"ZBTB20-AS1","chr3"
"554",100131131,"LOC100131131","chr2"
"555",100131132,"LOC100131132","chr10"
"556",100131137,"BSPH1","chr19"
"557",100131138,"LOC100131138","chr12"
"558",100131174,"LOC100131174","chr20"
"559",100131176,"LOC100131176","chr7"
"560",100131187,"TSTD1","chr1"
"561",100131193,"LOC100131193","chr9"
"562",100131205,"RPL21P28","chr1"
"563",100131208,"LOC100131208","chr20"
"564",100131211,"TMEM194B","chr2"
"565",100131213,"ZNF503-AS2","chr10"
"566",100131234,"LOC100131234","chr1"
"567",100131244,"ANKRD63","chr15"
"568",100131248,"LOC100131248","chr20"
"569",100131257,"LOC100131257","chr7"
"570",100131262,"LOC100131262","chr11"
"571",100131275,"NSAP11","chr8"
"572",100131283,"LOC100131283","chr6"
"573",100131289,"LOC100131289","chr6"
"574",100131316,"LOC100131316","chr2"
"575",100131320,"LOC100131320","chr2"
"576",100131347,"LOC100131347","chr17"
"577",100131354,"LOC100131354","chr1"
"578",100131366,"LOC100131366","chr14"
"579",100131372,"LOC100131372","chr7"
"580",100131373,"LOC100131373","chr2"
"581",100131378,"C11orf91","chr11"
"582",100131381,"LOC100131381","chr11"
"583",100131390,"SP9","chr2"
"584",100131392,"LOC100131392","chr11"
"585",100131395,"LOC100131395","chr8"
"586",100131434,"LOC100131434","chrX"
"587",100131439,"CD300LD","chr17"
"588",100131454,"DBIL5P","chr17"
"589",100131496,"LOC100131496","chr20"
"590",100131510,"LOC100131510","chr2"
"591",100131530,"LOC100131530","chr22"
"592",100131539,"ZNF705E","chr11"
"593",100131541,"LOC100131541","chr11"
"594",100131551,"LOC100131551","chr3"
"595",100131561,"FKSG29","chr13"
"596",100131564,"LOC100131564","chr1"
"597",100131607,"LOC100131607","chr6"
"598",100131608,"LOC100131608","chr8"
"599",100131626,"LOC100131626","chr11"
"600",100131635,"LOC100131635","chr3"
"601",100131655,"LOC100131655","chr18"
"602",100131679,"LOC100131679","chr3"
"603",100131691,"LOC100131691","chr19"
"604",100131726,"LOC100131726","chr8"
"605",100131733,"LOC100131733","chr12"
"606",100131735,"LOC100131735","chrX"
"607",100131744,"","chr17"
"608",100131755,"ARMCX4","chrX"
"609",100131774,"","chr6"
"610",100131801,"C19orf79","chr19"
"611",100131814,"LINC00271","chr6"
"612",100131816,"UBE2DNL","chrX"
"613",100131825,"LOC100131825","chr1"
"614",100131826,"LOC100131826","chr4"
"615",100131827,"ZNF717","chr3"
"616",100131871,"LOC100131871","chr7"
"617",100131897,"FAM196B","chr5"
"618",100131902,"KRTAP25-1","chr21"
"619",100131910,"LOC100131910","chr8"
"620",100131980,"ZNF705G","chr8"
"621",100131997,"FAM27E3","chr9"
"622",100131998,"RRN3P3","chr16"
"623",100132004,"LOC100132004","chr9"
"624",100132046,"LOC100132046","chr8"
"625",100132050,"LOC100132050","chr7"
"626",100132055,"FAM157C","chr16"
"627",100132057,"LOC100132057","chr1"
"628",100132062,"LOC100132062","chr5"
"629",100132074,"FOXO6","chr1"
"630",100132077,"LOC100132077","chr9"
"631",100132078,"LOC100132078","chr11"
"632",100132080,"","chr7"
"633",100132101,"HERC2P7","chr15"
"634",100132103,"FAM66E","chr8"
"635",100132111,"LOC100132111","chr1"
"636",100132146,"LOC100132146","chr3"
"637",100132154,"LOC100132154","chr9"
"638",100132163,"LOC100132163","chrX"
"639",100132174,"LOC100132174","chr17"
"640",100132183,"FP6628","chr8"
"641",100132202,"LOC100132202","chr15"
"642",100132215,"LOC100132215","chr2"
"643",100132234,"LINC00543","chr13"
"644",100132240,"LOC100132240","chr1"
"645",100132247,"LOC100132247","chr16"
"646",100132249,"LOC100132249","chr9"
"647",100132272,"LOC100132272","chr19"
"648",100132273,"LOC100132273","chr22"
"649",100132285,"KIR2DS2","GL000209.1"
"650",100132287,"LOC100132287","chr1"
"651",100132288,"TEKT4P2","chr21"
"652",100132304,"LOC100132304","chrX"
"653",100132314,"LOC100132314","chr1"
"654",100132330,"LOC100132330","chr2"
"655",100132336,"LOC100132336","GL000197.1"
"656",100132339,"LOC100132339","chr16"
"657",100132341,"KIAA0664L3","chr16"
"658",100132352,"LOC100132352","chr9"
"659",100132354,"LOC100132354","chr6"
"660",100132356,"LOC100132356","chr5"
"661",100132386,"KRTAP4-9","chr17"
"662",100132396,"LOC100132396","chr8"
"663",100132399,"GAGE12D","chrX"
"664",100132403,"FAM157B","chr9"
"665",100132406,"NBPF10","chr1"
"666",100132417,"FCGR1C","chr1"
"667",100132439,"LOC100132439","chr9"
"668",100132463,"CLDN24","chr4"
"669",100132464,"FAM99B","chr11"
"670",100132472,"LOC100132472","chr17"
"671",100132476,"KRTAP4-7","chr17"
"672",100132481,"LOC100132481","chr3"
"673",100132501,"LOC100132501","chr18"
"674",100132506,"FAM197Y3","chrY"
"675",100132526,"LOC100132526","chr3"
"676",100132529,"LOC100132529","chr16"
"677",100132565,"GOLGA8F","chr15"
"678",100132581,"LOC100132581","chr7"
"679",100132594,"PGAM1P5","chr12"
"680",100132596,"XGPY2","chrY"
"681",100132618,"ZRANB2-AS1","chr1"
"682",100132677,"BSN-AS2","chr3"
"683",100132705,"LOC100132705","chr22"
"684",100132707,"LOC100132707","chr7"
"685",100132708,"CYP4F30P","chr2"
"686",100132724,"LOC100132724","chr15"
"687",100132731,"LOC100132731","chr3"
"688",100132735,"LOC100132735","chr6"
"689",100132741,"LOC100132741","chrX"
"690",100132774,"LOC100132774","chr1"
"691",100132781,"LOC100132781","chr9"
"692",100132815,"LOC100132815","chr19"
"693",100132831,"LOC100132831","chrX"
"694",100132832,"LOC100132832","chr7"
"695",100132858,"LOC100132858","chr7"
"696",100132859,"LOC100132859","chr9"
"697",100132891,"LOC100132891","chr8"
"698",100132900,"LOC100132900","chr22"
"699",100132909,"LOC100132909","chr1"
"700",100132911,"DPH3P1","chr20"
"701",100132913,"LOC100132913","chr1"
"702",100132916,"FAM159B","chr5"
"703",100132923,"FAM66D","chr8"
"704",100132929,"FAM25B","chr10"
